Fiscal Year,Grant Type,Organization,Project,Amount,Location,Strategic Priority,Strategic Results,TOTAL # SERVED,# NH SERVED,GrantStatusId
2014,Sponsorship,Hawaii Maoli,On behalf of Hawaii Ponoi Coalition to support Onipaa,15000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Hawaii Maoli,Koolaupoko Hawaiian Civic Club Distinguished Kamaaina awards dinner,1000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Hawaii Maoli,Ka Mana o Ke Kanaka Awards Dinner,5000,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,Hawaii Maoli, Ka Mana o Ke Kanaka Awards,1250,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,Hawaii Maoli,Restoration of Ahupuaa Boundary ahu,2000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Sponsorship,Hawaii Maoli,5th Annual Ka Mana o Ke Kanaka Awards,3500,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Hawaii Maoli,State of the Native Hawaiian Community,25000,Statewide,Governance,Priority Level,,,1
2015,Sponsorship,Hawaii Nature Center,Green Gala 2015,3500,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Sponsorship,Hawaii Ponoi Foundation,"On behalf of the Hawaii Ponoi Coalition  to support ""Trial of a Queen""",6700,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Hawaii Psychological Association,HPA's 2014 Annual Convention,5000,Oahu,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,Hawaii Public Charter School Network,fundraising dinner,1500,Oahu,Education,Exceed Education Standards,,,1
2013,Sponsorship,Hawaiian Civic Club of Honolulu,Holoku Ball Scholarship Benefit,3000,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,Hawaiian Civic Club of Honolulu,2015 Holoku Ball Scholarship Benefit Gala ,3000,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,Hawaiian Civic Club of Waimanalo,Waimanalo Makahiki,1000,Oahu,Culture,Participate in Culture,,,1
2014,Sponsorship,Hawaiian Education and Reinstatement Foundation,Queen's Onipaa Celebration,150,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,Hawaiian Mission Houses Historic Site and Archives,Huakai: A Musical Journey,5000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Hawaiinuiakea School of Hawaiian Knowledge,I Ulu I Ke Kumu Awards Dinner,10000,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,"Hiilei Aloha, LLC",Ahaino School of Native Arts,20000,Molokai,Culture,Participate in Culture,,,1
2013,Sponsorship,Hiipaka,Waimea Valley Christmas Party,1000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Sponsorship,Hiipaka,2013 Summer Concert Series,25000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Hiipaka,Waimea Valley Summer Concert Series,25000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Hiipaka,Waimea Valley Summer Concert Series,2000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Historic Hawaii Foundation,2012 Kamaaina of the Year award dinner,5000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Historic Hawaii Foundation,2013 Kamaaina of the Year,3500,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Hoa Aina o Makaha,An Evening Under the Stars,3000,Oahu,Education,Exceed Education Standards,,,1
2013,Sponsorship,Honpa Hongwanji Mission of Hawaii,Living Treasures Recognition,15000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Honpa Hongwanji Mission of Hawaii,40th Annual Living Treasures of Hawaii Recognition Ceremony ,3000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Hui Malama I Na Kupuna,"Repatriate iwi kupuna and participate in the ""Pacific Presences: Oceanic Art & European Museums"" conference",4792.21,International,Culture,Value History and Culture,,,1
2013,Sponsorship,Hui Pu Laka Hawaiian Civic Club,Keaukaha Health Fair,1000,Hawaii,Health,Decrease Chronic Disease Rates,,,1
2013,Community Grant,Hula Preservation Society,Na Makua Mahalo Ia Collection digital repository of cultural resources for hula and music,89819,Statewide,Culture,Value History and Culture,,,1
2014,Sponsorship,I Ola Lahui,Annual Fundraiser,1200,Oahu,Health,Improve Family Lifestyle,,,1
2014,BOT Initiative,Ka Huli a Haloa,To support the development of a master plan for the Kukahaialono Cultural Center at Kualoa Regional Park,50000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,"Ka Molokai Makahiki, Inc.",annual makahiki celebration 2013,5000,Molokai,Culture,Participate in Culture,,,1
2015,Sponsorship,"Ka Molokai Makahiki, Inc.",Ka Molokai Makahiki 2015,6500,Molokai,Culture,Participate in Culture,,,1
2013,Sponsorship,Ka Ohana o Kalaupapa,Night of Aloha Kalaupapa Aloha Festivals,5000,Molokai,Culture,Value History and Culture,,,1
2013,Sponsorship,Ka Waianu o Haloa,to support Hawaiian Focused Charter School facility and program needs,25000,Maui,Education,Exceed Education Standards,,,1
2013,Sponsorship,KAHEA ,On behalf of The Hawaii Independent to support Ideas Summit 2013,1000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,Sponsorship,"Kai Loa, Inc.",Blessing and hoolaa to celebrate Na Kula o Kamakau,15000,Oahu,Education,Exceed Education Standards,,,1
2013,Sponsorship,Kakoo Central Maui Hawaiian Civic Club,Kupa Makaainana Awards & Luau,5000,Maui,Culture,Value History and Culture,,,1
2013,Sponsorship,Kakoo Oiwi,First stewards Coastal Peoples Address Climate Change in Wash D.C.,2000,Continent,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,Sponsorship,"Kalihi-Palama Culture and Arts Society, Inc.",Queen Lili'uokalani Keiki Hula Competition,30000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Kamakakuokalani - The Center for Hawaiian Studies,United Nations Permanent Forum on Indigenous Issues,20000,International,Governance,Priority Level,,,1
2013,Sponsorship,Kamehameha Schools,Kamehameha Schools Song Contest,18000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Kanu Hawaii,To support a get-out-the-vote campaign,1000,Statewide,Governance,Priority Level,,,1
2014,Sponsorship,Karuna Project (The), Trauma Literacy Symposium,6000,Hawaii,Health,Improve Family Lifestyle,,,1
2014,Sponsorship,Kealohilani Serrao,2014 Annual Merrie Monarch Miss Aloha Hula Hawaiian Language Award,1000,Hawaii,Culture,Participate in Culture,,,1
2013,Sponsorship,KEY Project ,Annual fundraising dinner,1250,Oahu,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,KFVE-TV,Merrie Monarch Festival and Miss Aloha Hula Hawaiian Language Award,20000,Hawaii,Culture,Participate in Culture,,,1
2013,Sponsorship,King Kamehameha Celebration Commission,emergency funding,25000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Koolauloa Hawaiian Civic Club,Diamond/Emerald Anniversary,5000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Kualoa-Heeia Ecumenical Youth (KEY) Project,10TH ANNUAL KOOLAU OHANA FESTIVAL,1250,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,Kualoa-Heeia Ecumenical Youth (KEY) Project,KEY Project's 11th Annual Koolau Ohana Festival,1500,Oahu,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,Lanai High and Elementary School,Career Day and College Fair,2500,Lanai,Education,Exceed Education Standards,,,1
2014,BOT Initiative,Lunalilo Home,To support the development of a master plan for Lunalilo Home,100000,Oahu,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,Lunalilo Home,Annual Benefit Luau,1000,Oahu,Health,Improve Family Lifestyle,,,1
2014,Sponsorship,Lunalilo Home,Annual Lunalilo Home Luau,3500,Oahu,Health,Improve Family Lifestyle,,,1
2014,Sponsorship,Lunalilo Home,23rd Annual Golf Tournament,3000,Oahu,Health,Improve Family Lifestyle,,,1
2014,Sponsorship,Lunalilo Home,22nd Annual Golf Tournament,1500,Oahu,Health,Improve Family Lifestyle,,,1
2015,Sponsorship,Lunalilo Home,Annual Lunalilo Home Benefit Luau,1000,Oahu,Health,Improve Family Lifestyle,,,1
2014,Sponsorship,Malie Foundation, Halau Ka Lei Mokihana o Leinaala Hoike,3500,Kauai,Culture,Value History and Culture,,,1
2014,Sponsorship,Mana Maoli ,170TH ANNIVERSARY LA HOIHOI EA 2013 CELEBRATIONS,5500,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,Mana Maoli ,Kanehunamoku Voyaging Academy Halau Holomoana program to Papahanaumokuakea Marine National Monument,15750,Papahanaumokuakea,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Sponsorship,Maunaloa Elementary School,school equipment,2000,Molokai,Education,Exceed Education Standards,,,1
2015,Sponsorship,Merrie Monarch Festival,Olelo Hawaii broadcasting of the festival,9000,Statewide,Culture,Value History and Culture,,,1
2013,Sponsorship,"Moanalua Gardens Foundation, Inc.",Prince Lot Hula Festival,10000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Molokai Community Service Council,funding support for Molokai Youth Center and Hoomana Hou program,2500,Molokai,Health,Improve Family Lifestyle,,,1
2014,Community Grant,Molokai General Hospital ,"To create a Prenatal Program focused on promoting prenatal care combining medical appointments, education, and group sessions.  (Year 1 of 2)",66200,Molokai,Health,Improve Family Lifestyle,,65,1
2015,Community Grant,Molokai General Hospital ,"To create a Prenatal Program focused on promoting prenatal care combining medical appointments, education, and group sessions. (Year 2 of 2)",67032,Molokai,Health,Improve Family Lifestyle,,106,1
2013,Sponsorship,Molokai Middle School,Student enrichment activties,5000,Molokai,Education,Exceed Education Standards,,,1
2013,Sponsorship,"Na Aikane o Maui, Inc.",Lahaina Carvers Symposium,10000,Maui,Culture,Participate in Culture,,,1
2014,Sponsorship,Na Koa Opio,Hookuikahi at Puukohola Heiau,1500,Hawaii,Culture,Value History and Culture,,,1
2013,Sponsorship,Na Koa Opio for Hanakehau Learning Farm,installation of electricity,5900,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Sponsorship,Na Maka o Papahanaumokuakea,Cultural exchange to the Cook Islands,10000,International,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Sponsorship,Na Moku Aupuni o Koolau Hui,Kaui Kanakaole's hula mentorship and book publication,25000,Maui,Culture,Value History and Culture,,,1
2014,Sponsorship,Na Poe Kokua,Ahahui Kaahumanu Maui Conference and Anniversary,10000,Maui,Culture,Value History and Culture,,,1
2014,Sponsorship,Na Pualei o Likolehua,Annual Na Lani Eha Concert,2000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Na Pualei o Likolehua,Summer Solstice Vigil,2400,Oahu,Culture,Participate in Culture,,,1
2013,Sponsorship,Na Wahine o Ke Kai,Annual Molokai to Oahu Canoe Race,2000,Molokai,Culture,Participate in Culture,,,1
2013,Sponsorship,Naalehu Theatre,Gabby Pahinui Waimanalo Kanikapila,3850,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,National American Indian Housing Council,National American Indian Housing Council Annual Conference & Trade Fair,2000,Continent,Governance,Priority Level,,,1
2013,Sponsorship,National American Indian Housing Council ,National American Indian Housing Council Legislative Impact Day,1000,Continent,Governance,Priority Level,,,1
2013,Sponsorship,National Congress of American Indians,NCAI Mid-Year Conference ,5000,Continent,Governance,Priority Level,,,1
2015,Sponsorship,National Congress of American Indians,NCAI 71ST Annual Convention & Marketplace ,7500,Continent,Governance,Priority Level,,,1
2013,Sponsorship,National Indian Education Association,National Indian Education Association Legislative Summit,1000,Continent,Governance,Priority Level,,,1
2015,Sponsorship,National Indian Education Association,NIEA 2014 45TH Annual Convention & Trade Show,5000,Continent,Governance,Priority Level,,,1
2015,Sponsorship,National Indian Education Association,2015 Legislative Summit,2500,Continent,Governance,Priority Level,,,1
2013,Sponsorship,National Museum of American Indians ,King Kamehameha Day Lei Draping Reception,20000,Continent,Governance,Priority Level,,,1
2013,Sponsorship,Native Hawaiian Chamber of Commerce,O'o Awards,5000,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2014,Sponsorship,Native Hawaiian Chamber of Commerce,Oo Awards,10000,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2015,Sponsorship,Native Hawaiian Chamber of Commerce,Annual O'o Awards,10000,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2013,Sponsorship,Native Hawaiian Education Association (NHEA),NHEA Convention,20000,Oahu,Education,Exceed Education Standards,,,1
2014,Sponsorship,Native Hawaiian Education Association (NHEA),15TH ANNUAL NATIVE HAWAIIAN EDUCATION ASSOCIATION (NHEA) CONVENTION,20000,Oahu,Education,Exceed Education Standards,,,1
2013,Sponsorship,Native Hawaiian Hospitality Association (NaHHA),Brook Parker - Volcano National Park Art Exhibit,3000,Hawaii,Culture,Value History and Culture,,,1
2015,BOT Initiative,Native Hawaiian Legal Corporation,To support information and research resources to the community.,85000,Statewide,Governance,Priority Level,,,2
2015,Sponsorship,Native Hawaiian Organizations Association,NHOA Business Conference,1000,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2013,Sponsorship,Native Hawaiian Roll Commission,Kanaiolowalu CD,5000,Statewide,Governance,Priority Level,,,1
2014,Sponsorship,Nature Conservancy (The),Marine Fellowship Program 2014-2015,24999,Statewide,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Sponsorship,"Ohana Ministries, Inc.",Kupuna Christmas celebration,3500,Molokai,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,Olelo Community Media,10th Annual Youth Exchange Competition,5000,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,Olelo Community Media,25th Anniversary Volunteer Gala,500,Oahu,Governance,Priority Level,,,1
2015,Sponsorship,Olelo Community Media,12TH Annual Youth XChange Student Video Competition ,10000,Oahu,Governance,Priority Level,,,1
2013,Sponsorship,Pacific American Foundation,2012 Annual Fundraiser to support Waikalua Loko,2000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,Sponsorship,PA'I Foundation,On behalf of Hawaii Ponoi Coalition to support the Onipaa - Celebration of Queen Liliuokalani,15000,Oahu,Culture,Value History and Culture,,,1
2014,BOT Initiative,Papa Ola Lokahi,To support planning and development activities with the Native Hawaiian Health Care Systems,60000,Statewide,Health,Decrease Chronic Disease Rates,,,1
2013,Sponsorship,Papa Ola Lokahi,No-Smoking campaign public service announcements,3000,Statewide,Health,Decrease Chronic Disease Rates,,,1
2013,Sponsorship,Papa Ola Lokahi,No-smoking PSA's,3000,Statewide,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,Papahana Kuaola,fundraising dinner,1500,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Sponsorship,Papahana Kuaola,Meheanu Dinner,1750,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,Sponsorship,Papakolea Community Development Corporation,On behalf of Na Pua o Ihiihilauakea to support fundraiser for Merrie Monarch hoike,4500,Hawaii,Culture,Value History and Culture,,,1
2014,Sponsorship,Papakolea Community Development Corporation,Aina Ahiahi Paina,2500,Oahu,Governance,Priority Level,,,1
2013,Sponsorship,Papakolea Hawaiian Civic Club,Participation of Lincoln Elementary School in the Prince Kuhio Day Parade,1000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Parents and Children Together , Suicide Prevention Workshop,1500,Molokai,Health,Improve Family Lifestyle,,,1
2014,Sponsorship,Parents and Children Together ,Weekend in Havana Fundraiser,2000,Oahu,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,Paukukalo Hawaiian Homes Community Association,Prince Kuhio Celebration,2500,Maui,Culture,Value History and Culture,,,1
2014,Sponsorship,Pohai o Kamehameha,Annual Kalani Alii Awards Banquet,1000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Pohai o Kamehameha,9th Annual Kalani Alii Awards Banquet ,1000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Polynesian Voyaging Society,"Voyage of Hikianalia to Nihoa, Papahanaumokuakea",24999,Statewide,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Sponsorship,Prince Kuhio Hawaiian Civic Club,2014 Kalanianaole Scholarship Paina,2500,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,Research Corporation of the University of Hawaii,UH Law Review's Biennial Symposium,1500,Oahu,Governance,Priority Level,,,1
2013,Sponsorship,"Smithsonian Institution, National Museum of the American Indian",2013 Smithsonian Folklife Festival,25000,Continent,Culture,Value History and Culture,,,1
2014,Sponsorship,"Smithsonian Institution, National Museum of the American Indian",NMAI LIVING ALOHA EVENT HONORING SEN DANIEL K. INOUYE,25000,Continent,Governance,Priority Level,,,1
2015,Sponsorship,"Smithsonian Institution, National Museum of the American Indian",NMAI Native Hawaiian Cultural Festival,13000,Continent,Governance,Priority Level,,,1
2013,Sponsorship,Smithsonian National Museum of the American Indians ,Eia Hawaii: NMAI Celebration of Native Hawaiian Culture,13000,Continent,Governance,Priority Level,,,1
2013,Sponsorship,St. Augustine by the Sea Catholic Church,Support hula halau to travel to Rome for canonization of Blessed Marianne,25000,International,Culture,Value History and Culture,,,1
2013,Sponsorship,"Supporting the Language of Kauai, Inc.",operational start-up,25000,Kauai,Education,Exceed Education Standards,,,1
2015,Sponsorship,The Medical Foundation for the Study of the Environment,2015 Intertidal Monitoring Survey in Papahanaumokuakea,22180,Statewide,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,Sponsorship,United States Veterans Initiative,U.S. Vets Waianae - Paiolu Kaiaulu dinner,1000,Oahu,Health,Improve Family Lifestyle,,,1
2015,Sponsorship,University of Hawaii,Ka Huli Ao Legislative Fellowship,15950,Continent,Governance,Priority Level,,,1
2015,Sponsorship,University of Hawaii,Career development and internships for Native Hawaiian graduate and professional schools students through Hawaiinuiakea School of Hawaiian Knowledge ,17000,Continent,Governance,Priority Level,,,1
2014,BOT Initiative,University of Hawaii - Office of Research Services,To support the construction of the Kanewai Resource Center at the UH Center for Hawaiian Studies,100000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,University of Hawaii Foundation,UH West Oahu Gala Event,25000,Oahu,Education,Exceed Education Standards,,,1
2013,Sponsorship,University of Hawaii Foundation,Native Hawaiian Science & Engineering Mentorship Program Poi Supper,500,Oahu,Education,Exceed Education Standards,,,1
2013,Sponsorship,University of Hawaii Foundation,Jon Van Dyke Tribute Symposium,1972,Oahu,Governance,Priority Level,,,1
2013,Sponsorship,University of Hawaii Foundation,Obama Presidential Center,25000,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,University of Hawaii Foundation,2013 CRITICAL ETHNIC STUDIES CONFERENCE IN CHICAGO ,7515,Continent,Education,Exceed Education Standards,,,1
2014,Sponsorship,University of Hawaii Foundation,THE NATIVE AMERICAN MOOT COURT TEAM FOR 2013-2014 SEASON,5000,Continent,Education,Exceed Education Standards,,,1
2014,Sponsorship,University of Hawaii Foundation, UN PERMANENT FORUM ON INDIGENOUS ISSUES IN NEW YORK,7671,Continent,Governance,Priority Level,,,1
2014,Sponsorship,University of Hawaii Foundation,UH DISTINGUISHED ALUMNI AWARDS,3500,Oahu,Education,Exceed Education Standards,,,1
2014,Sponsorship,University of Hawaii Foundation,Jon Van Dyke Tribute Symposium,4144.88,Oahu,Governance,Priority Level,,,1
2015,Sponsorship,University of Hawaii Foundation,Hawaiinuiakea School of Hawaiian Knowledge I Ulu I Ke Kumu Awards Dinner ,1300,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,University of Hawaii Foundation, JABSOM'S 50TH Anniversary Gala ,5000,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,University of Hawaii Foundation,Hawaii's bid for the Obama Presidential Center,25000,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,University of Sydney (the),student scholarship support,2755,International,Education,Exceed Education Standards,,,1
2014,Sponsorship,Waianae Community Re-Development Corporation,MA'O Community Food Security Initiative,7500,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Sponsorship,Waianae Community Re-Development Corporation,Town ma MA'O Annual scholarship fundraiser ,2450,Oahu,Health,Improve Family Lifestyle,,,1
2015,Sponsorship,Waianae Hawaiian Civic Club,Waianae Coast Candidate Forum,2499,Oahu,Governance,Priority Level,,,1
2013,Sponsorship,Waianae Kai Hawaiian Homestead Association,SCHHA Convention,25000,Oahu,Economic Self-Sufficiency,Build Stability in Housing,,,1
2013,Sponsorship,Waianae Kai Hawaiian Homestead Association,Table purchase at 2012 SCHHA convention,5000,Oahu,Economic Self-Sufficiency,Build Stability in Housing,,,1
2014,Sponsorship,Waianae Kai Hawaiian Homestead Association,ANNUAL SOVEREIGN COUNCILS OF THE HAWN HOMELANDS ASSEMBLY (SCHHA) CONVENTION,25000,Oahu,Economic Self-Sufficiency,Build Stability in Housing,,,1
2013,Sponsorship,Waikiki Community Center,Duke Kahanamoku Challenge,650,Oahu,Culture,Participate in Culture,,,1
2013,Sponsorship,Waikiki Community Center,Na Mea Makamae o Waikiki,1000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Waikiki Community Center,Na Mea Makamae o Waikiki 2013 ,2500,Oahu,Health,Improve Family Lifestyle,,,1
2015,Sponsorship,Waikiki Community Center,30th Annual Duke Kahanamoku Beach Challenge,1500,Oahu,Health,Improve Family Lifestyle,,,1
2015,Community Grant,Waimanalo Health Center ,To support enhanced prenatal services through its Patient-Centered Health Care Home (PCHCH) team based health care delivery. (Year 2 of 2),130000,Oahu,Health,Improve Family Lifestyle,,83,1
2014,Community Grant,Waimanalo Health Center ,To support enhanced prenatal services through its Patient-Centered Health Care Home (PCHCH) team based health care delivery.  (Year 1 of 2),130000,Oahu,Health,Improve Family Lifestyle,,139,1
2014,Community Grant,Waimea Hawaiian Homesteaders Association ,"To support the ""Farming for the Working Class"" program to assist Hawaiian homeland lessees to revie historically productive agricultural lands.  (Year 1 of 2)",135410,Hawaii,Land & Water,Achieve Pae Aina Sustainability,,50,1
2015,Community Grant,Waimea Hawaiian Homesteaders Association ,"To support the ""Farming for the Working Class"" program to assist Hawaiian homeland lessees to revie historically productive agricultural lands. (Year 2 of 2)",127410,Hawaii,Land & Water,Achieve Pae Aina Sustainability,,81,1
2014,Sponsorship,Waiola Church,"History, Culture and Music Festival",2000,Maui,Culture,Value History and Culture,,,1
2013,Sponsorship,Washington Pacific Committee,Pacific Day,5200,Continent,Governance,Priority Level,,,1
2013,Sponsorship,West Honolulu Rotary Club,2012 David Malo Award dinner honoring Brothers Cazimero,800,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,Aha Kukui o Molokai,Renewable Energy Festival,7566,Molokai,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,BOT Initiative,"Alu Like, Inc.","To support the multi-service program to assist beneficiaries with information and referral services, Individual Development Accounts, and emergency funding.",830000,Statewide,Health,Improve Family Lifestyle,,,1
2013,Ahahui,Big Island Resource Conservtion and Development Council,Breadfruit Festival Goes Bananas,7000,Hawaii,Culture,Value History and Culture,,,1
2015,Ahahui,Big Island Resource Conservtion and Development Council,Traditions to Good Health and Wellness Fair,4000,Hawaii,Health,Improve Family Lifestyle,,,1
2013,Ahahui,Bishop Museum,Grow Hawaiian Celebration,5000,Hawaii,Culture,Value History and Culture,,,1
2014,Ahahui,Bishop Museum,MAMo Native Hawaiian Arts Market,5000,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2015,Ahahui,Bishop Museum,11th Annual Grow Hawaiian Festival at Amy Greenwell Garden,5000,Hawaii,Culture,Value History and Culture,,,1
2013,BOT Initiative,Consuelo Zobel Alger Foundation,"To create community-based prevention efforts, strengthen families, enhance community programs, create innovative culturally congruent approaches, and train professionals and other community stakeholders through its Pilot Molokaʻi Program.  (Year 2 of 2)",50000,Molokai,Health,Improve Family Lifestyle,,,1
2013,Ahahui,Department of Human Services/Maui Adult Protection and Community Services,‘Aha Kupuna,3000,Maui,Health,Improve Family Lifestyle,,,1
2013,Ahahui,East Maui Taro Festival,East Maui Taro Festival,10000,Maui,Culture,Value History and Culture,,,1
2014,Ahahui,East Maui Taro Festival,22nd Annual East Maui Taro festival,10000,Maui,Culture,Value History and Culture,,,1
2015,Ahahui,East Maui Taro Festival,23rd Annual East Maui Taro Festival,9000,Maui,Culture,Value History and Culture,,,1
2015,Ahahui,Friends of Kona Pacific Public Charter School,Aha Aloha 'Olelo community celebration of Hawaiian language,5600,Hawaii,Culture,Value History and Culture,,,1
2014,Ahahui,Friends of Molokai High and Middle Schools Foundation,Green & White Carnival and College and Career Fair,9000,Molokai,Education,Exceed Education Standards,,,1
2015,Ahahui,Friends of Molokai High and Middle Schools Foundation,College and Career Fair,8500,Molokai,Education,Exceed Education Standards,,,1
2015,Ahahui,"Garden Island Resource Conservation & Development, Inc.",Ka Moku O Manokalanipō Pa'ani Makahiki,9000,Kauai,Culture,Participate in Culture,,,1
2013,Ahahui,"Hale Mua Cultural Group, Inc","Hopuna Ka Mua ""Grasping the Future""",5000,Hawaii,Culture,Value History and Culture,,,1
2013,Ahahui,Hana Cultural Center,Festivals of Aloha in Hana,7500,Maui,Culture,Value History and Culture,,,1
2014,Ahahui,Hana Cultural Center ,16th Annual Hana Cultural Center Ho'olaule'a,4100,Maui,Culture,Value History and Culture,,,1
2013,Ahahui,Hawaii Academy of Recording Arts,Na Hoku Hanohano Music Festival Workshops,10000,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,Hawaii Book and Music Festival,Hawaii Book and Music Festival - ALANA Program,7700,Oahu,Culture,Value History and Culture,,,1
2014,Ahahui,Hawaii Book and Music Festival,Alana Program in Alana Pavilion at Hawaii Book & Music Festival,6000,Oahu,Culture,Value History and Culture,,,1
2015,Ahahui,Hawaii Book and Music Festival,Alana Hawaiian Culture Program at the Hawai'i Book & Music Festival (HBMF),7000,Oahu,Culture,Value History and Culture,,,1
2014,Ahahui,Hawaii Construction Career Days,Construction Career Day,4000,Maui,Economic Self-Sufficiency,Increase Family Income,,,1
2013,Ahahui,Hawaii Council for the Humanities,A Celebration of Women's History,5000,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,Hawaiian Canoe Racing Association,HCRA State Championship Canoe Regatta,5000,Oahu,Culture,Value History and Culture,,,1
2014,Ahahui,Hawaiian Canoe Racing Association,2013 HCRA State Championship Canoe Regatta,5000,Kauai,Culture,Value History and Culture,,,1
2015,Ahahui,Hawaiian Canoe Racing Association,2014 HCRA State Championship Canoe Regatta,6000,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,Hui No Ke Ola Pono,Hana Health Fair,10000,Maui,Health,Decrease Chronic Disease Rates,,,1
2013,Ahahui,Hui o Laka,Eo e Emalani i Alaka‘i,4000,Kauai,Culture,Value History and Culture,,,1
2013,Ahahui,Ka Meheu Ohu o Ka Honu,Ho‘okuikahi I Pu‘ukohola 2012,7500,Hawaii,Health,Decrease Chronic Disease Rates,,,1
2014,Ahahui,Ka Meheu Ohu O Ka Honu,Ho'okuikahi I Pu'ukohola 2013,3000,Hawaii,Health,Decrease Chronic Disease Rates,,,1
2014,Ahahui,"Ka Molokai Makahiki, Inc.",Ka Molokai Makahiki,8200,Molokai,Culture,Participate in Culture,,,1
2014,Ahahui,"Ka Molokai Makahiki, Inc.",On behalf of The Molokai Keiki Group to support 10th Annual Keiki Expo Event,6000,Molokai,Education,Exceed Education Standards,,,1
2014,Ahahui,"Kai Loa, Inc.",Makahiki Kuilima,7600,Oahu,Culture,Participate in Culture,,,1
2015,Ahahui,"Kai Loa, Inc.",Makahiki Kuilima,9000,Oahu,Culture,Participate in Culture,,,1
2015,Ahahui,Kailapa Community Association,La Ku’o’ko’a celebration,5000,Hawaii,Culture,Value History and Culture,,,1
2013,Ahahui,Kanalu,Makahiki Kuilima,10000,Oahu,Culture,Participate in Culture,,,1
